cem N_HT TCP_10 TCP_kill_10 TCP_60 TCP_kill_60 TCP_120 TCP_kill_120 TCP_240 TCP_kill_240
7.150000000000000000e+01 3.000000000000000000e+00 8.996360372688506635e-01 9.713801011788354423e-01 8.010604542998748245e-01 9.412393799881964007e-01 7.059207734254544508e-01 9.096216400217839171e-01 6.079420649326119364e-01 8.737226969238623964e-01
7.250000000000000000e+01 3.000000000000000000e+00 8.998816831888548640e-01 9.717823089536991032e-01 8.012491722761356794e-01 9.419708004642898258e-01 7.060176731727064725e-01 9.106765696985178460e-01 6.079614443554960390e-01 8.751360030909047794e-01
7.350000000000000000e+01 3.000000000000000000e+00 9.007254172477314746e-01 9.723707995755676015e-01 8.020922872129567782e-01 9.429277692394217869e-01 7.066162725501938802e-01 9.119258182142683244e-01 6.081890831789765750e-01 8.766488707253661250e-01
7.450000000000000000e+01 3.000000000000000000e+00 9.016180642308097015e-01 9.729820028335285365e-01 8.029971123057854099e-01 9.439399681614785154e-01 7.072616950792517398e-01 9.132623501177781211e-01 6.084341938350819046e-01 8.782831572902853878e-01
7.550000000000000000e+01 3.000000000000000000e+00 9.016847977789754776e-01 9.732576472379795840e-01 8.030010396537413664e-01 9.444594715913833261e-01 7.072264919529829275e-01 9.140348275808662937e-01 6.084040455147885496e-01 8.793474706045718570e-01
7.650000000000000000e+01 3.000000000000000000e+00 9.025712230220457322e-01 9.738121961447601116e-01 8.039158017618536212e-01 9.453660421137575209e-01 7.078912781753520234e-01 9.152145541164707909e-01 6.086630208360094274e-01 8.807638284703264153e-01
7.750000000000000000e+01 3.000000000000000000e+00 9.027594430486964860e-01 9.741365632956290321e-01 8.040531837101650980e-01 9.459663451824088520e-01 7.079558188551966502e-01 9.160904130802660639e-01 6.086722339217293110e-01 8.819481757501773656e-01
7.850000000000000000e+01 3.000000000000000000e+00 9.047212047313992755e-01 9.751246639877313438e-01 8.061629352792075709e-01 9.475610742892853766e-01 7.095205934481971788e-01 9.181162786031092926e-01 6.092879621836516657e-01 8.843025947430266376e-01
7.950000000000000000e+01 3.000000000000000000e+00 9.049206087549725996e-01 9.754033611387578073e-01 8.063269659843841364e-01 9.480724884948777964e-01 7.096131933669922454e-01 9.188551403259026529e-01 6.093118454713429832e-01 8.852915204182013609e-01
8.050000000000000000e+01 3.000000000000000000e+00 9.056217022382597737e-01 9.758756761511557798e-01 8.070457521388608724e-01 9.488770385462448331e-01 7.101300828406428289e-01 9.199396697274793144e-01 6.095099536004401353e-01 8.866417861921228605e-01
