Temp TCP TCP_5 TCP_50
4.145003161269100644e+01 9.755274707706867998e-01 9.884428348296431244e-01 9.999999828128399715e-01
4.104701945141251684e+01 9.588842778151355217e-01 9.694991916511994656e-01 9.999999903074004992e-01
4.156319524342259797e+01 9.727248739729043026e-01 9.836638187723080184e-01 9.999999999966231456e-01
4.099428979183050359e+01 9.388320542593149298e-01 9.920874702451109028e-01 9.937816260486617148e-01
4.065803234895363971e+01 9.495256988769456008e-01 6.527443930199040567e-01 9.999995340260212640e-01
4.072495492440751974e+01 9.500904545075519181e-01 7.149473067664970927e-01 9.999999762953121207e-01
4.049844741474547760e+01 9.035217047080875696e-01 9.914389140190267291e-01 3.062680219366528006e-04
4.014930659912266009e+01 8.813637340499511641e-01 8.395138752912167934e-01 4.182210057564648975e-02
4.088759895119369503e+01 9.496402170421571753e-01 9.923315997602185634e-01 9.941398311562341661e-01
4.162357501990116049e+01 9.805154407115874715e-01 9.363528423970606251e-01 0.000000000000000000e+00
4.065108787516328448e+01 9.354583430113811993e-01 9.894361656049132092e-01 0.000000000000000000e+00
4.044166862974709886e+01 9.070975985347434767e-01 9.535320911436180602e-02 1.282134834763740009e-228
4.196337297515226084e+01 9.883138108889379936e-01 9.615744406992321469e-01 9.999999808373597476e-01
4.137584833498100778e+01 9.717363011234741998e-01 3.573435662342301367e-01 9.409662074034678136e-01
4.141514067068293059e+01 9.673417167336569866e-01 9.961623848930222236e-01 9.999381141179765065e-01
4.119360504078953511e+01 9.539151023614002023e-01 8.915359050905911076e-01 0.000000000000000000e+00
4.054780663895628834e+01 9.176712446788858335e-01 9.800252807218899909e-01 9.705603943212334217e-01
4.048125365995581149e+01 9.104798485835374766e-01 7.340157320330040758e-01 9.999980373013196422e-01
4.166801742252965113e+01 9.789374918176052542e-01 9.593076555125459315e-01 9.996791772015229949e-01
4.112690704302265488e+01 9.586067854321663750e-01 2.865635340617787574e-01 2.896927343680091624e-287
4.133038126055637207e+01 9.659430648767209915e-01 9.974079017732707664e-01 9.999984779453005013e-01
4.055961462544524920e+01 9.302583597815706762e-01 9.945027400355184177e-01 8.702628384892135971e-02
4.047084053839249407e+01 9.119573208203949344e-01 9.961996386413202176e-01 5.687927211399345095e-01
4.107781380275894634e+01 9.600122736722576100e-01 9.682514962377816170e-01 9.889299804484269485e-01
4.102697248142470698e+01 9.554031657422937807e-01 9.903535508148878508e-01 1.396108779710127264e-02
4.077796332726703810e+01 9.525313472741602228e-01 8.881410053995086873e-01 9.999988320380176487e-01
4.058679139357670351e+01 9.294093286694454781e-01 9.036100529937300951e-01 9.999967614252697201e-01
4.100660265873375465e+01 9.583662312236890246e-01 9.627038088381375536e-01 5.780215464877547227e-01
4.116641555238195593e+01 9.574349651297114905e-01 8.479756689907371747e-01 7.073277702979657073e-19
4.090368433005528459e+01 9.576564559087775708e-01 7.877937771346326112e-01 9.994267764728211878e-01
4.160660526308070928e+01 9.810873455974582491e-01 9.927534217275688633e-01 1.521043881001008392e-03
4.143328889874756982e+01 9.715820009798021850e-01 8.811275768871688063e-01 9.592803014413914253e-01
4.157811682059579539e+01 9.816642306985898792e-01 9.594059438030355658e-01 9.999520861237328750e-01
4.033011889265601724e+01 9.028783811461049691e-01 8.608058815197425773e-01 9.964870572238265778e-01
4.094403703406294426e+01 9.388720386946486363e-01 9.604574156402494456e-01 9.999999365641899507e-01
4.124969129127408962e+01 9.619003538980938073e-01 3.364955787336804671e-01 9.999999876591330050e-01
4.012095868573773316e+01 9.063266595571899398e-01 7.433858798766304066e-01 9.997869937659583650e-01
4.123378652924459686e+01 9.580939001172095182e-01 9.970026241539304834e-01 9.999999906670067329e-01
4.042760387774468001e+01 9.238694950800363515e-01 8.263422579304562365e-01 7.319788608177997258e-01
4.114841806017888359e+01 9.538726018537840856e-01 7.726062256895068758e-01 9.561185498837964092e-01
4.030669332980018282e+01 9.013940653033915007e-01 9.407595941838038378e-01 9.999951913460148889e-01
4.158637837902882950e+01 9.762625008209422361e-01 8.607157005572773079e-01 2.381103575774901840e-24
4.145785156710350350e+01 9.729231311733299581e-01 9.502242883461996525e-01 9.481390751707086118e-01
4.070049577554188858e+01 9.412421045136492026e-01 9.962771458613601805e-01 9.977349728280491270e-01
3.995888581569197129e+01 8.633045053970630489e-01 7.756867523339511239e-01 1.004701109325572095e-05
4.200448030622110451e+01 9.859848773118069509e-01 9.991091333163283350e-01 8.622402280554515979e-85
4.024162459727625674e+01 9.082410797518164491e-01 9.680021953709599947e-01 9.971773604708303873e-01
4.069557276952865976e+01 9.443921970570957614e-01 9.071697761868953158e-01 9.535118782514261371e-01
4.102141218369390430e+01 9.596490084504853968e-01 8.364417140847447696e-01 1.182084797678593056e-02
4.103113988683211488e+01 9.425487771599256881e-01 7.844210914668108270e-01 9.207412972238444154e-03
4.019883142369000240e+01 8.881862768281326703e-01 2.132386208552101148e-01 9.939270738081175116e-01
4.083067635319071087e+01 9.482567793183918070e-01 9.234997249148554355e-01 7.943998530315201645e-01
4.086342282181095698e+01 9.484381992448054355e-01 8.766363978027937875e-01 8.154795612788634518e-01
4.082849047696600309e+01 9.449848283619769473e-01 9.135832314011115285e-01 2.392363351433909047e-01
4.068370594465095991e+01 9.416217833879174659e-01 8.737158425356925662e-01 9.999999999633353287e-01
4.225444655664388449e+01 9.908475811295827107e-01 9.979407309895396150e-01 9.992747490770145236e-01
4.079688708751030646e+01 9.422746504970406223e-01 9.088657647624382996e-01 9.993489886098722019e-01
4.070886342578444328e+01 9.432105973310996871e-01 9.898496528826803420e-01 9.999995049281057424e-01
4.157131462489829232e+01 9.715166921237897713e-01 9.817890394712561752e-01 9.989731184281416265e-01
