D TCP TCP_het_alpha TCP_het_vol TCP_het_both
8.600000000000000000e+01 9.999915553630147613e-01 8.625851727214400855e-01 9.999898803228983724e-01 8.632579077667814627e-01
8.800000000000000000e+01 9.999964203071064484e-01 8.757543165928572959e-01 9.999957102501038086e-01 8.763691660389195670e-01
9.000000000000000000e+01 9.999984825655291454e-01 8.882420965782014122e-01 9.999981815708974819e-01 8.885732790539451198e-01
9.200000000000000000e+01 9.999993567587851517e-01 9.001736489751939185e-01 9.999992291668464706e-01 9.000910345262547185e-01
9.400000000000000000e+01 9.999997273298029121e-01 9.115684154395331529e-01 9.999996732435048052e-01 9.111271748491293065e-01
9.600000000000000000e+01 9.999998844150114197e-01 9.223140411950715434e-01 9.999998614877987357e-01 9.217107224695622048e-01
9.800000000000000000e+01 9.999999510034865979e-01 9.323361762456506829e-01 9.999999412846409808e-01 9.317580160847156456e-01
1.000000000000000000e+02 9.999999792303627677e-01 9.416819125018912606e-01 9.999999751105377310e-01 9.411862179437070486e-01
1.020000000000000000e+02 9.999999911957444532e-01 9.504323735015161034e-01 9.999999894493459829e-01 9.499861373520318564e-01
1.040000000000000000e+02 9.999999962678733922e-01 9.586473007010692937e-01 9.999999955275747920e-01 9.581984009529039836e-01
1.060000000000000000e+02 9.999999984179503976e-01 9.663631227726793282e-01 9.999999981041388653e-01 9.658272444091594577e-01
1.080000000000000000e+02 9.999999993293686718e-01 9.735530635596925109e-01 9.999999991963399726e-01 9.728257089937554225e-01
1.100000000000000000e+02 9.999999997157191789e-01 9.800464888878449576e-01 9.999999996593303964e-01 9.791002990680472973e-01
1.120000000000000000e+02 9.999999998794932843e-01 9.855758273483031795e-01 9.999999998555879621e-01 9.845129691916696402e-01
1.140000000000000000e+02 9.999999999489171953e-01 9.899626572731696772e-01 9.999999999387840788e-01 9.889422056523982096e-01
1.160000000000000000e+02 9.999999999783459881e-01 9.932234233896272135e-01 9.999999999740528667e-01 9.923623616831911409e-01
1.180000000000000000e+02 9.999999999908208981e-01 9.955253354858286663e-01 9.999999999890011315e-01 9.948648088048405169e-01
1.200000000000000000e+02 9.999999999961090014e-01 9.970906663247635082e-01 9.999999999953360641e-01 9.966165696683343400e-01
