Temp_min Temp Temp_max TCP TCP_kill
3.961907419690908227e+01 4.050357259438927571e+01 4.095909463138728057e+01 8.441624699873607751e-01 9.065276012862817367e-01
3.984687860294087614e+01 4.065928323410987844e+01 4.161448204400720385e+01 8.548471702466214905e-01 9.222098874971046412e-01
3.959699052247543705e+01 4.122149520288655822e+01 4.281212314530155538e+01 8.891907782326986531e-01 9.660795807377791089e-01
3.951960092947535941e+01 4.102663087892439364e+01 4.275415430418748031e+01 8.797246392525021053e-01 9.597493853732302904e-01
4.083062738339047115e+01 4.162279217663494535e+01 4.287799234771333090e+01 9.067076759515629858e-01 9.767500680488566678e-01
4.052050514846802542e+01 4.185705153129139688e+01 4.265469186597695028e+01 9.169749147059885752e-01 9.831408103776807517e-01
3.951040947536272085e+01 4.177116512093721212e+01 4.296577763586672205e+01 9.163275731613624853e-01 9.869665307067645443e-01
4.074106795255713109e+01 4.184574090635120314e+01 4.266753559297214338e+01 9.162719564247949755e-01 9.824913858038554215e-01
3.927131405351484972e+01 4.024773607259186292e+01 4.189213371087212323e+01 8.310328639277851925e-01 9.023638751885425524e-01
4.024532145791176418e+01 4.128050636024966025e+01 4.205477287263349950e+01 8.900245236143373706e-01 9.606737120219815962e-01
3.977011757137872650e+01 4.124165745459679755e+01 4.280556949215085183e+01 8.903607982548299438e-01 9.675831221490835965e-01
3.962490260119339069e+01 4.064290578880564908e+01 4.245219571934984515e+01 8.565708824915521102e-01 9.346569715756473107e-01
4.054362829888516018e+01 4.148853166230617973e+01 4.227311955879443417e+01 8.997303872112912826e-01 9.681725516184110925e-01
4.114068829207089095e+01 4.223138471054311083e+01 4.294930386745694051e+01 9.314497393767764422e-01 9.915432542350388623e-01
3.952077740643748882e+01 4.123240175553992515e+01 4.241505055445957595e+01 8.891570380550699593e-01 9.629301297009025262e-01
3.904710699481253755e+01 4.053098411432972625e+01 4.241699221577366075e+01 8.511695087126733839e-01 9.312111464579155840e-01
3.968321863910480829e+01 3.994175035440048305e+01 4.053723682856163890e+01 8.051062505823969317e-01 8.577505053657455969e-01
3.961980036078541190e+01 4.056256611670867329e+01 4.135627571520389978e+01 8.484888518722423223e-01 9.134295512699597275e-01
3.901963926331913513e+01 4.053618297620296573e+01 4.169678149501790898e+01 8.489516572345586765e-01 9.187742136823876526e-01
3.919215292950030260e+01 4.141521850211448452e+01 4.250741257036919762e+01 8.998542934526057024e-01 9.741832194402907374e-01
3.946203049692908849e+01 4.128781682479589676e+01 4.249697058870473398e+01 8.932389584853015485e-01 9.696995413260410812e-01
3.937079167725661932e+01 4.086157964964151290e+01 4.250850122549587695e+01 8.695237474278975087e-01 9.469212455439874887e-01
3.902822993756064562e+01 3.953932700176446247e+01 4.051491831336291938e+01 7.759405091729223436e-01 8.243791952937192802e-01
4.120297170459922853e+01 4.184740898260623965e+01 4.259713279798157259e+01 9.159267594052246109e-01 9.815112857148153847e-01
3.933994160358590619e+01 4.163330941215999559e+01 4.277735951888284660e+01 9.102450206334165017e-01 9.825784264748408381e-01
3.909276510607749344e+01 4.122974156603191176e+01 4.299013809736886316e+01 8.926422622648363392e-01 9.743167631750452307e-01
4.019500057583742603e+01 4.133897217394974177e+01 4.184670992175053783e+01 8.925119396196754540e-01 9.613267755160390671e-01
3.990713868952804688e+01 4.083398721640250528e+01 4.162762004599584031e+01 8.647809526890625209e-01 9.318454862348053425e-01
4.020772570290777281e+01 4.142801773083017025e+01 4.263557846689722197e+01 8.982863071749286332e-01 9.709129193787702228e-01
3.909278260173758923e+01 4.079655372599494711e+01 4.152344976976190338e+01 8.647062400792492332e-01 9.353969978511544880e-01
3.993760118553192484e+01 4.072706936652934218e+01 4.226197333526540234e+01 8.601893292847043737e-01 9.338117148727024253e-01
3.910842599098651817e+01 4.053185933608351377e+01 4.211740022398404193e+01 8.507015261440210585e-01 9.273814272037428363e-01
3.912959662253816617e+01 4.102202517611748078e+01 4.296776580100066667e+01 8.834338005631631185e-01 9.704972320299756205e-01
3.911365587020070222e+01 4.057080639781520404e+01 4.207152435766813170e+01 8.518494470772505212e-01 9.255421779192625209e-01
3.906913736884730071e+01 3.998503600188129070e+01 4.171747963098673040e+01 8.130138614479949233e-01 8.811307868138475996e-01
4.040801134771560044e+01 4.090676970616759434e+01 4.172088057864924338e+01 8.685286741913528230e-01 9.351504548837918929e-01
3.916749868216736985e+01 4.010916277095462590e+01 4.161525782006399510e+01 8.204033841415788730e-01 8.862604385031690457e-01
3.995696091992666510e+01 4.138834988812732263e+01 4.287751167803076413e+01 8.970073058001186705e-01 9.717983517484872769e-01
4.040210289717416003e+01 4.114210598781877337e+01 4.206451700021175810e+01 8.820395821949246207e-01 9.510265300455916782e-01
4.017866878001396458e+01 4.136870552184568339e+01 4.211496737196187468e+01 8.942736694944871667e-01 9.638311353069709542e-01
3.922581783257076893e+01 4.062114039044631397e+01 4.189097582446943591e+01 8.540569065180713126e-01 9.250819125131751752e-01
3.927942991726742150e+01 4.084828016268473760e+01 4.190609909407021405e+01 8.676399848968757711e-01 9.394450682215147452e-01
3.979641243830348429e+01 4.105555999115371435e+01 4.294223122983069629e+01 8.810445639524855377e-01 9.621289362945624202e-01
3.916878246554652065e+01 4.108557055243042555e+01 4.193319935117266084e+01 8.818965496467692233e-01 9.557440397748060423e-01
3.964599397172561623e+01 4.042723685894312524e+01 4.093243743063096218e+01 8.390044562440927001e-01 8.998625992299941201e-01
3.981050029109727717e+01 4.178833977518205245e+01 4.278019656462937093e+01 9.157950641965429961e-01 9.847846075971855573e-01
4.096564924174229816e+01 4.183573400204330284e+01 4.267332694699359052e+01 9.159429954046580669e-01 9.826683539243561416e-01
4.095401498922565509e+01 4.186834501761514105e+01 4.291045012410656057e+01 9.171230780221123480e-01 9.832511029677899472e-01
3.997978299453478002e+01 4.158188362498820112e+01 4.297655531706284648e+01 9.062104923492885211e-01 9.786435984752004380e-01
3.967887471465093085e+01 4.046857279978085842e+01 4.181335564136458771e+01 8.438311797398104774e-01 9.127365640572814298e-01
3.991748030289711835e+01 4.029770248419567480e+01 4.069301452339256997e+01 8.300795463446811739e-01 8.883893507868458883e-01
4.092492383232853825e+01 4.173118139937630389e+01 4.233855737330021896e+01 9.105659338057628949e-01 9.764663743671343488e-01
4.162930035145664220e+01 4.202201243893617999e+01 4.223084849710391353e+01 9.223462882143120822e-01 9.840927554377325581e-01
4.109174259607731727e+01 4.178705391753378962e+01 4.218416241366722375e+01 9.127904901738869148e-01 9.776362031506672379e-01
3.975684762235134428e+01 4.108817490308466347e+01 4.187957395295931207e+01 8.800472337807550005e-01 9.503462129061414077e-01
4.141737701006120176e+01 4.200279084848550326e+01 4.267319519005819473e+01 9.219619115670326659e-01 9.848127974947790131e-01
4.031046322927442560e+01 4.196046250537067124e+01 4.260307087207669952e+01 9.218578771024856788e-01 9.870670609382694582e-01
3.970184432864344615e+01 4.156929650370796026e+01 4.270151164013800127e+01 9.064303833340645600e-01 9.794822128685888307e-01
3.997054291890481181e+01 4.095232628595110924e+01 4.220809109417930216e+01 8.726480240448594161e-01 9.444727938199120043e-01
3.923598891821540491e+01 4.009025460247866590e+01 4.106729220531186542e+01 8.180713461646360596e-01 8.790771786251959652e-01
4.008145342015714618e+01 4.097248778769863975e+01 4.189726636008148120e+01 8.741096494811965156e-01 9.461084824371061019e-01
4.040260707648131699e+01 4.146000453502244198e+01 4.227095047042838871e+01 8.988044469254082847e-01 9.684622676897388649e-01
4.155293478943470831e+01 4.218890716431577204e+01 4.256016649504863381e+01 9.290324040005063511e-01 9.887484877030652264e-01
4.080084135075438923e+01 4.182954247669783854e+01 4.269662350457871014e+01 9.153742302124464603e-01 9.814638711094698653e-01
3.909183511625178653e+01 4.015846694748923795e+01 4.145502569135604887e+01 8.238505836331485588e-01 8.891899483914369462e-01
3.926492873346045087e+01 4.054628000416896327e+01 4.138600111413161642e+01 8.482021275532616311e-01 9.143634835013177975e-01
3.931294540591864006e+01 4.015028360788241457e+01 4.159378950764521221e+01 8.228681648097649903e-01 8.882550022636011011e-01
3.922857771640266833e+01 4.145003161269100644e+01 4.246695783394724799e+01 9.015144860667845261e-01 9.755274707706867998e-01
3.921453839640092554e+01 4.104701945141251684e+01 4.258614990238702092e+01 8.807733180171514187e-01 9.588842778151356327e-01
4.064211361258598032e+01 4.156319524342259797e+01 4.249804987104047882e+01 9.036262880832174327e-01 9.727248739729043026e-01
4.044232738888602796e+01 4.099428979183050359e+01 4.136879867718948844e+01 8.731366224367445028e-01 9.388320542593149298e-01
3.927923237934565748e+01 4.065803234895363971e+01 4.298036902785416657e+01 8.604494042369450479e-01 9.495256988769456008e-01
3.941106197065474248e+01 4.072495492440751974e+01 4.292433633085334321e+01 8.636220648021861734e-01 9.500904545075519181e-01
4.001112293084696603e+01 4.049844741474547760e+01 4.085635740840147889e+01 8.430796274817019542e-01 9.035217047080875696e-01
3.960155805734142120e+01 4.014930659912266009e+01 4.122166522197369432e+01 8.212050744023791093e-01 8.813637340499511641e-01
3.901459707153067313e+01 4.088759895119369503e+01 4.205454253933866937e+01 8.721506900075916002e-01 9.496402170421571753e-01
3.963715512494732707e+01 4.162357501990116049e+01 4.260389564003638441e+01 9.088219410073887783e-01 9.805154407115874715e-01
3.920012715618597099e+01 4.065108787516328448e+01 4.204700939609430321e+01 8.581596233310169186e-01 9.354583430113811993e-01
3.924192778989259267e+01 4.044166862974709886e+01 4.120090920183836403e+01 8.416502300043319229e-01 9.070975985347434767e-01
4.023143559275954573e+01 4.196337297515226084e+01 4.290860683488470073e+01 9.224341795566788349e-01 9.883138108889379936e-01
3.928821611998077401e+01 4.137584833498100778e+01 4.239049428910119133e+01 8.975040343519613550e-01 9.717363011234741998e-01
3.998524762519392795e+01 4.141514067068293059e+01 4.213032437984183787e+01 8.970897424998088843e-01 9.673417167336569866e-01
4.006756071909387629e+01 4.119360504078953511e+01 4.172249100320637893e+01 8.850216172353198019e-01 9.539151023614002023e-01
3.919855287211064621e+01 4.054780663895628834e+01 4.162974461080798960e+01 8.490630976167102828e-01 9.176712446788858335e-01
3.922362430017851409e+01 4.048125365995581149e+01 4.139966522743227983e+01 8.442909598939351001e-01 9.104798485835374766e-01
